STATE,HCODE,YEAR,MONTH,PIF,Reported Count
CALIFORNIA ALL,HO-W,2013,7,"1,100,084","32,859"
CALIFORNIA ALL,HO-W,2013,8,"1,101,831","37,653"
CALIFORNIA ALL,HO-W,2013,9,"1,102,219","42,063"
CALIFORNIA ALL,HO-W,2013,10,"1,103,420","46,936"
CALIFORNIA ALL,HO-W,2013,11,"1,104,265","50,681"
CALIFORNIA ALL,HO-W,2013,12,"1,105,196","55,254"
CALIFORNIA ALL,HO-W,2014,1,"1,106,186","4,470"
CALIFORNIA ALL,HO-W,2014,2,"1,107,488","8,537"
CALIFORNIA ALL,HO-W,2014,3,"1,108,656","12,457"
CALIFORNIA ALL,HO-W,2014,4,"1,110,077","16,686"
CALIFORNIA ALL,HO-W,2014,5,"1,111,606","20,680"
CALIFORNIA ALL,HO-W,2014,6,"1,112,755","24,603"
CALIFORNIA ALL,HO-W,2014,7,"1,114,137","28,872"
CALIFORNIA ALL,HO-W,2014,8,"1,114,030","32,995"
CALIFORNIA ALL,HO-W,2014,9,"1,114,015","37,410"
CALIFORNIA ALL,HO-W,2014,10,"1,114,410","41,188"
CALIFORNIA ALL,HO-W,2014,11,"1,114,728","44,465"
CALIFORNIA ALL,HO-W,2014,12,"1,115,245","48,892"
CALIFORNIA ALL,HO-W,2015,1,"1,115,820","4,140"
CALIFORNIA ALL,HO-W,2015,2,"1,115,995","7,780"
CALIFORNIA ALL,HO-W,2015,3,"1,116,444","11,583"
CALIFORNIA ALL,HO-W,2015,4,"1,117,661","15,360"
CALIFORNIA ALL,HO-W,2015,5,"1,118,053","18,774"
CALIFORNIA ALL,HO-W,2015,6,"1,118,894","22,480"
CALIFORNIA ALL,HO-W,2015,7,"1,119,452","26,483"
CALIFORNIA ALL,HO-W,2015,8,"1,120,127","30,144"
CALIFORNIA ALL,HO-W,2015,9,"1,120,998","34,007"
COLORADO,HO-W,2011,1,"263,847","1,167"
COLORADO,HO-W,2011,2,"263,560","2,084"
COLORADO,HO-W,2011,3,"263,344","3,411"
COLORADO,HO-W,2011,4,"263,182","4,914"
COLORADO,HO-W,2011,5,"262,872","6,651"
COLORADO,HO-W,2011,6,"262,565","8,943"
COLORADO,HO-W,2011,7,"262,121","10,514"
COLORADO,HO-W,2011,8,"261,809","11,819"
COLORADO,HO-W,2011,9,"261,485","12,859"
COLORADO,HO-W,2011,10,"261,101","14,091"
COLORADO,HO-W,2011,11,"260,773","15,316"
COLORADO,HO-W,2011,12,"260,934","16,182"
COLORADO,HO-W,2012,1,"260,473","1,438"
COLORADO,HO-W,2012,2,"260,362","2,796"
COLORADO,HO-W,2012,3,"260,384","4,626"
COLORADO,HO-W,2012,4,"260,109","6,167"
COLORADO,HO-W,2012,5,"260,224","7,694"
COLORADO,HO-W,2012,6,"260,091","9,279"
COLORADO,HO-W,2012,7,"259,936","10,497"
COLORADO,HO-W,2012,8,"260,407","11,470"
COLORADO,HO-W,2012,9,"260,702","12,290"
COLORADO,HO-W,2012,10,"260,833","13,569"
COLORADO,HO-W,2012,11,"261,042","14,294"
COLORADO,HO-W,2012,12,"261,172","14,923"
COLORADO,HO-W,2013,1,"261,193",983
COLORADO,HO-W,2013,2,"261,386","1,625"
COLORADO,HO-W,2013,3,"261,924","2,312"
COLORADO,HO-W,2013,4,"262,607","3,258"
COLORADO,HO-W,2013,5,"263,238","4,268"
COLORADO,HO-W,2013,6,"263,516","5,355"
COLORADO,HO-W,2013,7,"264,152","6,477"
COLORADO,HO-W,2013,8,"264,031","7,403"
COLORADO,HO-W,2013,9,"264,059","8,310"
COLORADO,HO-W,2013,10,"264,803","9,077"
COLORADO,HO-W,2013,11,"264,813","9,526"
COLORADO,HO-W,2013,12,"264,980","10,309"
COLORADO,HO-W,2014,1,"265,042",635
COLORADO,HO-W,2014,2,"265,189","1,574"
COLORADO,HO-W,2014,3,"265,241","2,353"
COLORADO,HO-W,2014,4,"265,432","3,162"
COLORADO,HO-W,2014,5,"265,556","4,330"
COLORADO,HO-W,2014,6,"265,488","5,244"
COLORADO,HO-W,2014,7,"266,040","6,470"
COLORADO,HO-W,2014,8,"265,856","7,598"
COLORADO,HO-W,2014,9,"265,831","8,372"
COLORADO,HO-W,2014,10,"265,764","9,030"
COLORADO,HO-W,2014,11,"265,640","9,527"
COLORADO,HO-W,2014,12,"265,710","10,146"
COLORADO,HO-W,2015,1,"265,621",813
COLORADO,HO-W,2015,2,"265,642","1,324"
COLORADO,HO-W,2015,3,"265,710","2,005"
COLORADO,HO-W,2015,4,"265,878","2,697"
COLORADO,HO-W,2015,5,"265,992","3,511"
COLORADO,HO-W,2015,6,"266,146","4,508"
COLORADO,HO-W,2015,7,"266,405","5,461"
COLORADO,HO-W,2015,8,"266,305","6,483"
COLORADO,HO-W,2015,9,"266,410","7,307"
CONNECTICUT,HO-W,2011,1,"39,148",632
CONNECTICUT,HO-W,2011,2,"39,127","1,095"
CONNECTICUT,HO-W,2011,3,"39,183","1,544"
CONNECTICUT,HO-W,2011,4,"39,111","1,807"
CONNECTICUT,HO-W,2011,5,"39,059","2,046"
CONNECTICUT,HO-W,2011,6,"38,991","2,413"
CONNECTICUT,HO-W,2011,7,"38,937","2,649"
CONNECTICUT,HO-W,2011,8,"38,969","2,980"
CONNECTICUT,HO-W,2011,9,"38,864","3,230"
CONNECTICUT,HO-W,2011,10,"38,817","3,450"
CONNECTICUT,HO-W,2011,11,"38,773","3,686"
CONNECTICUT,HO-W,2011,12,"38,751","3,899"
CONNECTICUT,HO-W,2012,1,"38,732",183
CONNECTICUT,HO-W,2012,2,"38,704",331
CONNECTICUT,HO-W,2012,3,"38,687",483
CONNECTICUT,HO-W,2012,4,"38,684",619
CONNECTICUT,HO-W,2012,5,"38,673",759
CONNECTICUT,HO-W,2012,6,"38,762",917
CONNECTICUT,HO-W,2012,7,"38,814","1,131"
CONNECTICUT,HO-W,2012,8,"38,866","1,346"
CONNECTICUT,HO-W,2012,9,"38,943","1,532"
CONNECTICUT,HO-W,2012,10,"39,044","1,705"
CONNECTICUT,HO-W,2012,11,"39,212","1,880"
CONNECTICUT,HO-W,2012,12,"39,285","2,018"
CONNECTICUT,HO-W,2013,1,"39,357",220
CONNECTICUT,HO-W,2013,2,"39,433",530
CONNECTICUT,HO-W,2013,3,"39,589",715
CONNECTICUT,HO-W,2013,4,"39,799",931
CONNECTICUT,HO-W,2013,5,"39,950","1,128"
CONNECTICUT,HO-W,2013,6,"40,179","1,355"
CONNECTICUT,HO-W,2013,7,"40,369","1,572"
CONNECTICUT,HO-W,2013,8,"40,627","1,760"
CONNECTICUT,HO-W,2013,9,"40,815","1,929"
CONNECTICUT,HO-W,2013,10,"41,036","2,085"
CONNECTICUT,HO-W,2013,11,"41,201","2,222"
CONNECTICUT,HO-W,2013,12,"41,383","2,381"
CONNECTICUT,HO-W,2014,1,"41,640",365
CONNECTICUT,HO-W,2014,2,"41,734",673
CONNECTICUT,HO-W,2014,3,"41,929",959
CONNECTICUT,HO-W,2014,4,"42,141","1,224"
CONNECTICUT,HO-W,2014,5,"42,358","1,465"
CONNECTICUT,HO-W,2014,6,"42,630","1,673"
CONNECTICUT,HO-W,2014,7,"42,923","1,909"
CONNECTICUT,HO-W,2014,8,"43,194","2,076"
CONNECTICUT,HO-W,2014,9,"43,389","2,277"
CONNECTICUT,HO-W,2014,10,"43,637","2,465"
CONNECTICUT,HO-W,2014,11,"43,865","2,608"
CONNECTICUT,HO-W,2014,12,"44,113","2,791"
CONNECTICUT,HO-W,2015,1,"44,245",264
CONNECTICUT,HO-W,2015,2,"44,408",678
CONNECTICUT,HO-W,2015,3,"44,654","1,436"
CONNECTICUT,HO-W,2015,4,"44,830","1,828"
CONNECTICUT,HO-W,2015,5,"45,020","2,084"
CONNECTICUT,HO-W,2015,6,"45,216","2,426"
CONNECTICUT,HO-W,2015,7,"45,442","2,715"
CONNECTICUT,HO-W,2015,8,"45,612","2,930"
CONNECTICUT,HO-W,2015,9,"45,814","3,136"
DELAWARE,HO-W,2011,1,"68,054",256
DELAWARE,HO-W,2011,2,"68,078",591
DELAWARE,HO-W,2011,3,"68,117",966
DELAWARE,HO-W,2011,4,"68,144","1,241"
DELAWARE,HO-W,2011,5,"68,143","1,487"
DELAWARE,HO-W,2011,6,"68,093","1,783"
DELAWARE,HO-W,2011,7,"68,116","2,080"
DELAWARE,HO-W,2011,8,"68,115","2,601"
DELAWARE,HO-W,2011,9,"68,109","2,894"
DELAWARE,HO-W,2011,10,"68,157","3,142"
DELAWARE,HO-W,2011,11,"68,141","3,365"
DELAWARE,HO-W,2011,12,"68,203","3,590"
DELAWARE,HO-W,2012,1,"68,246",199
DELAWARE,HO-W,2012,2,"68,270",406
DELAWARE,HO-W,2012,3,"68,303",608
DELAWARE,HO-W,2012,4,"68,348",795
DELAWARE,HO-W,2012,5,"68,367",971
DELAWARE,HO-W,2012,6,"68,374","1,331"
DELAWARE,HO-W,2012,7,"68,389","1,701"
DELAWARE,HO-W,2012,8,"68,459","2,019"
DELAWARE,HO-W,2012,9,"68,456","2,270"
DELAWARE,HO-W,2012,10,"68,475","2,464"
DELAWARE,HO-W,2012,11,"68,522","2,621"
DELAWARE,HO-W,2012,12,"68,571","2,792"
DELAWARE,HO-W,2013,1,"68,644",240
DELAWARE,HO-W,2013,2,"68,645",441
DELAWARE,HO-W,2013,3,"68,711",683
DELAWARE,HO-W,2013,4,"68,789",886
DELAWARE,HO-W,2013,5,"68,821","1,069"
DELAWARE,HO-W,2013,6,"68,976","1,436"
DELAWARE,HO-W,2013,7,"69,038","1,803"
DELAWARE,HO-W,2013,8,"69,114","2,061"
DELAWARE,HO-W,2013,9,"69,185","2,268"
DELAWARE,HO-W,2013,10,"69,170","2,465"
DELAWARE,HO-W,2013,11,"69,164","2,600"
DELAWARE,HO-W,2013,12,"69,144","2,766"
DELAWARE,HO-W,2014,1,"69,219",272
DELAWARE,HO-W,2014,2,"69,214",556
DELAWARE,HO-W,2014,3,"69,214",766
DELAWARE,HO-W,2014,4,"69,250",950
DELAWARE,HO-W,2014,5,"69,292","1,167"
DELAWARE,HO-W,2014,6,"69,371","1,325"
DELAWARE,HO-W,2014,7,"69,424","1,606"
DELAWARE,HO-W,2014,8,"69,366","1,828"
DELAWARE,HO-W,2014,9,"69,420","2,014"
DELAWARE,HO-W,2014,10,"69,412","2,164"
DELAWARE,HO-W,2014,11,"69,460","2,313"
DELAWARE,HO-W,2014,12,"69,522","2,503"
DELAWARE,HO-W,2015,1,"69,622",197
DELAWARE,HO-W,2015,2,"69,709",525
DELAWARE,HO-W,2015,3,"69,762",821
DELAWARE,HO-W,2015,4,"69,849","1,017"
DELAWARE,HO-W,2015,5,"69,846","1,194"
DELAWARE,HO-W,2015,6,"69,894","1,518"
DELAWARE,HO-W,2015,7,"69,952","1,794"
DELAWARE,HO-W,2015,8,"70,009","1,969"
DELAWARE,HO-W,2015,9,"70,068","2,126"
DIST. OF COL.,HO-W,2011,1,"20,302",116
DIST. OF COL.,HO-W,2011,2,"20,306",295
DIST. OF COL.,HO-W,2011,3,"20,307",489
DIST. OF COL.,HO-W,2011,4,"20,321",598
DIST. OF COL.,HO-W,2011,5,"20,347",699
DIST. OF COL.,HO-W,2011,6,"20,357",798
DIST. OF COL.,HO-W,2011,7,"20,339",912
DIST. OF COL.,HO-W,2011,8,"20,355","1,065"
DIST. OF COL.,HO-W,2011,9,"20,339","1,245"
DIST. OF COL.,HO-W,2011,10,"20,313","1,413"
DIST. OF COL.,HO-W,2011,11,"20,321","1,519"
DIST. OF COL.,HO-W,2011,12,"20,333","1,630"
DIST. OF COL.,HO-W,2012,1,"20,306",98
DIST. OF COL.,HO-W,2012,2,"20,296",180
DIST. OF COL.,HO-W,2012,3,"20,277",247
DIST. OF COL.,HO-W,2012,4,"20,281",322
DIST. OF COL.,HO-W,2012,5,"20,284",387
DIST. OF COL.,HO-W,2012,6,"20,261",530
DIST. OF COL.,HO-W,2012,7,"20,260",890
DIST. OF COL.,HO-W,2012,8,"20,246","1,051"
DIST. OF COL.,HO-W,2012,9,"20,238","1,198"
DIST. OF COL.,HO-W,2012,10,"20,222","1,319"
DIST. OF COL.,HO-W,2012,11,"20,234","1,385"
DIST. OF COL.,HO-W,2012,12,"20,237","1,443"
DIST. OF COL.,HO-W,2013,1,"20,219",105
DIST. OF COL.,HO-W,2013,2,"20,216",184
DIST. OF COL.,HO-W,2013,3,"20,199",258
DIST. OF COL.,HO-W,2013,4,"20,210",348
DIST. OF COL.,HO-W,2013,5,"20,238",418
DIST. OF COL.,HO-W,2013,6,"20,245",526
DIST. OF COL.,HO-W,2013,7,"20,234",643
DIST. OF COL.,HO-W,2013,8,"20,217",743
DIST. OF COL.,HO-W,2013,9,"20,221",826
DIST. OF COL.,HO-W,2013,10,"20,188",940
DIST. OF COL.,HO-W,2013,11,"20,195","1,014"
DIST. OF COL.,HO-W,2013,12,"20,199","1,119"
DIST. OF COL.,HO-W,2014,1,"20,191",353
DIST. OF COL.,HO-W,2014,2,"20,205",481
DIST. OF COL.,HO-W,2014,3,"20,213",571
DIST. OF COL.,HO-W,2014,4,"20,210",674
DIST. OF COL.,HO-W,2014,5,"20,230",843
DIST. OF COL.,HO-W,2014,6,"20,253",941
DIST. OF COL.,HO-W,2014,7,"20,247","1,071"
DIST. OF COL.,HO-W,2014,8,"20,210","1,169"
DIST. OF COL.,HO-W,2014,9,"20,216","1,252"
DIST. OF COL.,HO-W,2014,10,"20,217","1,360"
DIST. OF COL.,HO-W,2014,11,"20,218","1,412"
DIST. OF COL.,HO-W,2014,12,"20,169","1,503"
DIST. OF COL.,HO-W,2015,1,"20,142",131
DIST. OF COL.,HO-W,2015,2,"20,128",320
